Row,bad or very bad SRH,good or very SRH
age,59.2 (58.9-59.5),56.4 (56.2-56.6)
females,53.3 (52.1-54.5),52 (51.2-52.8)
education_upper_secondary,33.5 (32.4-34.7),18.3 (17.6-18.9)
education_high_school,30.5 (29.4-31.7),26.6 (25.9-27.3)
education_university,36 (34.8-37.1),55.1 (54.3-56)
hii_multi_comorbidity,9.95 (9.23-10.7),3.05 (2.77-3.33)
friendsSupp,82.2 (81.3-83.1),92.6 (92.2-93.1)
liveWspouse,72.3 (71.2-73.5),79 (78.3-79.7)
PAfrq_0pw,17.7 (16.7-18.6),9.19 (8.71-9.66)
PAfrq_1pw,25.2 (24.1-26.2),16.1 (15.5-16.7)
PAfrq_3pw,36.5 (35.3-37.6),43.8 (43-44.7)
PAfrq_4pw,20.7 (19.7-21.7),30.9 (30.1-31.6)
PAint_mild,54.6 (53.3-55.8),32.4 (31.6-33.2)
PAint_moderate,43.6 (42.3-44.9),62.3 (61.5-63.1)
PAint_high,1.83 (1.49-2.18),5.27 (4.9-5.65)
bmi_under,0.913 (0.683-1.14),0.406 (0.302-0.511)
bmi_normal,23.5 (22.4-24.5),35.9 (35.1-36.6)
bmi_over,41.1 (39.9-42.3),44.8 (44-45.7)
bmi_obese,34.5 (33.3-35.6),18.9 (18.3-19.5)
diabetes,10.4 (9.7-11.2),3.83 (3.52-4.15)
smoker,20.1 (19.1-21.1),11.1 (10.5-11.6)
hscl_symptoms,18.4 (17.5-19.4),5.24 (4.87-5.61)
